Group,Education Level,Year,Domain,Indicator,Value
All students,Overall,2023/24,Internet Habits,Make friends online,12.6
All students,Overall,2023/24,Internet Habits,Others,1.4
Drug-taking students,Overall,2023/24,Internet Habits,No,2.6
Drug-taking students,Overall,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",97.4
Drug-taking students,Overall,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,74.8
Drug-taking students,Overall,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),58.3
Drug-taking students,Overall,2023/24,Internet Habits,Play online games,53
Drug-taking students,Overall,2023/24,Internet Habits,Do homework on the Internet,36.9
Drug-taking students,Overall,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),29.6
Drug-taking students,Overall,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),27.1
Drug-taking students,Overall,2023/24,Internet Habits,"Download photos / songs,etc.",25.3
Drug-taking students,Overall,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",20.5
Drug-taking students,Overall,2023/24,Internet Habits,Make friends online,18.8
Drug-taking students,Overall,2023/24,Internet Habits,Others,5.3
Non-drug-taking students,Overall,2023/24,Internet Habits,No,1.7
Non-drug-taking students,Overall,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",98.3
Non-drug-taking students,Overall,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,82.9
Non-drug-taking students,Overall,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),64.9
Non-drug-taking students,Overall,2023/24,Internet Habits,Play online games,63.1
Non-drug-taking students,Overall,2023/24,Internet Habits,Do homework on the Internet,45.1
Non-drug-taking students,Overall,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),37.6
Non-drug-taking students,Overall,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),31
Non-drug-taking students,Overall,2023/24,Internet Habits,"Download photos / songs,etc.",27.1
Non-drug-taking students,Overall,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",17.6
Non-drug-taking students,Overall,2023/24,Internet Habits,Make friends online,12.4
Non-drug-taking students,Overall,2023/24,Internet Habits,Others,1.3
All students,Upper Primary,2020/21,Internet Habits,No,2.4
All students,Upper Primary,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",97.6
All students,Upper Primary,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,86.5
All students,Upper Primary,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),54.6
All students,Upper Primary,2020/21,Internet Habits,Play online games,67.7
All students,Upper Primary,2020/21,Internet Habits,Do homework on the Internet,49.6
All students,Upper Primary,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),25.8
All students,Upper Primary,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),17.1
All students,Upper Primary,2020/21,Internet Habits,"Download photos / songs,etc.",24
All students,Upper Primary,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",9.8
All students,Upper Primary,2020/21,Internet Habits,Make friends online,12.3
All students,Upper Primary,2020/21,Internet Habits,Others,2.7
Drug-taking students,Upper Primary,2020/21,Internet Habits,No,2.7
Drug-taking students,Upper Primary,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",97.3
Drug-taking students,Upper Primary,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,71.8
Drug-taking students,Upper Primary,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),36.1
Drug-taking students,Upper Primary,2020/21,Internet Habits,Play online games,59.4
Drug-taking students,Upper Primary,2020/21,Internet Habits,Do homework on the Internet,35.6
Drug-taking students,Upper Primary,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),12.5
Drug-taking students,Upper Primary,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),11
Drug-taking students,Upper Primary,2020/21,Internet Habits,"Download photos / songs,etc.",18.2
Drug-taking students,Upper Primary,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",10.3
Drug-taking students,Upper Primary,2020/21,Internet Habits,Make friends online,19.8
Drug-taking students,Upper Primary,2020/21,Internet Habits,Others,5.9
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,No,2.4
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",97.6
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,86.7
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),54.9
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,Play online games,67.9
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,Do homework on the Internet,49.8
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),25.9
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),17.2
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,"Download photos / songs,etc.",24
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",9.8
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,Make friends online,12.2
Non-drug-taking students,Upper Primary,2020/21,Internet Habits,Others,2.7
All students,Upper Primary,2023/24,Internet Habits,No,2
All students,Upper Primary,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",98
All students,Upper Primary,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,83.1
All students,Upper Primary,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),55
All students,Upper Primary,2023/24,Internet Habits,Play online games,69.7
All students,Upper Primary,2023/24,Internet Habits,Do homework on the Internet,47.4
All students,Upper Primary,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),25.4
All students,Upper Primary,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),15.6
All students,Upper Primary,2023/24,Internet Habits,"Download photos / songs,etc.",24.3
All students,Upper Primary,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",8.6
All students,Upper Primary,2023/24,Internet Habits,Make friends online,11.7
All students,Upper Primary,2023/24,Internet Habits,Others,2
Drug-taking students,Upper Primary,2023/24,Internet Habits,No,3.3
Drug-taking students,Upper Primary,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",96.7
Drug-taking students,Upper Primary,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,68.6
Drug-taking students,Upper Primary,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),32.3
Drug-taking students,Upper Primary,2023/24,Internet Habits,Play online games,55.1
Drug-taking students,Upper Primary,2023/24,Internet Habits,Do homework on the Internet,32.1
Drug-taking students,Upper Primary,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),12.8
Drug-taking students,Upper Primary,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),10.4
Drug-taking students,Upper Primary,2023/24,Internet Habits,"Download photos / songs,etc.",25.7
Drug-taking students,Upper Primary,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",8.9
Drug-taking students,Upper Primary,2023/24,Internet Habits,Make friends online,14.8
Drug-taking students,Upper Primary,2023/24,Internet Habits,Others,7.4
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,No,2
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",98
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,83.3
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),55.3
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,Play online games,70
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,Do homework on the Internet,47.6
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),25.5
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),15.7
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,"Download photos / songs,etc.",24.3
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",8.6
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,Make friends online,11.6
Non-drug-taking students,Upper Primary,2023/24,Internet Habits,Others,1.9
All students,Secondary,2020/21,Internet Habits,No,1.4
All students,Secondary,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",98.6
All students,Secondary,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,89.2
All students,Secondary,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),72.5
All students,Secondary,2020/21,Internet Habits,Play online games,65.2
All students,Secondary,2020/21,Internet Habits,Do homework on the Internet,48.1
All students,Secondary,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),35.2
All students,Secondary,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),33.1
All students,Secondary,2020/21,Internet Habits,"Download photos / songs,etc.",32.5
All students,Secondary,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",18.5
All students,Secondary,2020/21,Internet Habits,Make friends online,13.7
All students,Secondary,2020/21,Internet Habits,Others,1.7
Drug-taking students,Secondary,2020/21,Internet Habits,No,2.8
Drug-taking students,Secondary,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",97.2
Drug-taking students,Secondary,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,81.6
Drug-taking students,Secondary,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),60.3
Drug-taking students,Secondary,2020/21,Internet Habits,Play online games,59.5
Drug-taking students,Secondary,2020/21,Internet Habits,Do homework on the Internet,34.2
Drug-taking students,Secondary,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),24.7
Drug-taking students,Secondary,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),22.2
Drug-taking students,Secondary,2020/21,Internet Habits,"Download photos / songs,etc.",27.5
Drug-taking students,Secondary,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",19.1
Drug-taking students,Secondary,2020/21,Internet Habits,Make friends online,22.5
Drug-taking students,Secondary,2020/21,Internet Habits,Others,6.3
Non-drug-taking students,Secondary,2020/21,Internet Habits,No,1.3
Non-drug-taking students,Secondary,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",98.7
Non-drug-taking students,Secondary,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,89.4
Non-drug-taking students,Secondary,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),72.8
Non-drug-taking students,Secondary,2020/21,Internet Habits,Play online games,65.3
Non-drug-taking students,Secondary,2020/21,Internet Habits,Do homework on the Internet,48.5
Non-drug-taking students,Secondary,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),35.5
Non-drug-taking students,Secondary,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),33.4
Non-drug-taking students,Secondary,2020/21,Internet Habits,"Download photos / songs,etc.",32.7
Non-drug-taking students,Secondary,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",18.5
Non-drug-taking students,Secondary,2020/21,Internet Habits,Make friends online,13.5
Non-drug-taking students,Secondary,2020/21,Internet Habits,Others,1.6
All students,Secondary,2023/24,Internet Habits,No,1.6
All students,Secondary,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",98.4
All students,Secondary,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,81.5
All students,Secondary,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),69.6
All students,Secondary,2023/24,Internet Habits,Play online games,66.1
All students,Secondary,2023/24,Internet Habits,Do homework on the Internet,38.4
All students,Secondary,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),32.9
All students,Secondary,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),29.7
All students,Secondary,2023/24,Internet Habits,"Download photos / songs,etc.",30.5
All students,Secondary,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",17.3
All students,Secondary,2023/24,Internet Habits,Make friends online,13.6
All students,Secondary,2023/24,Internet Habits,Others,1.6
Drug-taking students,Secondary,2023/24,Internet Habits,No,3.5
Drug-taking students,Secondary,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",96.5
Drug-taking students,Secondary,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,73.1
Drug-taking students,Secondary,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),56.6
Drug-taking students,Secondary,2023/24,Internet Habits,Play online games,56.5
Drug-taking students,Secondary,2023/24,Internet Habits,Do homework on the Internet,26.7
Drug-taking students,Secondary,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),18.1
Drug-taking students,Secondary,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),19.2
Drug-taking students,Secondary,2023/24,Internet Habits,"Download photos / songs,etc.",25.2
Drug-taking students,Secondary,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",13.9
Drug-taking students,Secondary,2023/24,Internet Habits,Make friends online,19.1
Drug-taking students,Secondary,2023/24,Internet Habits,Others,5.7
Non-drug-taking students,Secondary,2023/24,Internet Habits,No,1.5
Non-drug-taking students,Secondary,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",98.5
Non-drug-taking students,Secondary,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,81.8
Non-drug-taking students,Secondary,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),70
Non-drug-taking students,Secondary,2023/24,Internet Habits,Play online games,66.3
Non-drug-taking students,Secondary,2023/24,Internet Habits,Do homework on the Internet,38.7
Non-drug-taking students,Secondary,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),33.3
Non-drug-taking students,Secondary,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),30
Non-drug-taking students,Secondary,2023/24,Internet Habits,"Download photos / songs,etc.",30.7
Non-drug-taking students,Secondary,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",17.4
Non-drug-taking students,Secondary,2023/24,Internet Habits,Make friends online,13.4
Non-drug-taking students,Secondary,2023/24,Internet Habits,Others,1.5
All students,Post-secondary,2020/21,Internet Habits,No,1.2
All students,Post-secondary,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",98.8
All students,Post-secondary,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,89.2
All students,Post-secondary,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),71.6
All students,Post-secondary,2020/21,Internet Habits,Play online games,49.9
All students,Post-secondary,2020/21,Internet Habits,Do homework on the Internet,63.4
All students,Post-secondary,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),54.5
All students,Post-secondary,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),48.4
All students,Post-secondary,2020/21,Internet Habits,"Download photos / songs,etc.",26.6
All students,Post-secondary,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",30.2
All students,Post-secondary,2020/21,Internet Habits,Make friends online,11.1
All students,Post-secondary,2020/21,Internet Habits,Others,0.2
Drug-taking students,Post-secondary,2020/21,Internet Habits,No,2.5
Drug-taking students,Post-secondary,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",97.5
Drug-taking students,Post-secondary,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,86.7
Drug-taking students,Post-secondary,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),73.3
Drug-taking students,Post-secondary,2020/21,Internet Habits,Play online games,41.7
Drug-taking students,Post-secondary,2020/21,Internet Habits,Do homework on the Internet,58.9
Drug-taking students,Post-secondary,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),51.5
Drug-taking students,Post-secondary,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),48.6
Drug-taking students,Post-secondary,2020/21,Internet Habits,"Download photos / songs,etc.",25.7
Drug-taking students,Post-secondary,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",41.4
Drug-taking students,Post-secondary,2020/21,Internet Habits,Make friends online,20.4
Drug-taking students,Post-secondary,2020/21,Internet Habits,Others,***
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,No,1.1
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,"Yes,things to do when surfing the Internet were…",98.9
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,89.2
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),71.5
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,Play online games,50.2
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,Do homework on the Internet,63.6
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),54.6
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,Browse websites (e.g. read newspaper articles / comics),48.4
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,"Download photos / songs,etc.",26.7
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",29.8
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,Make friends online,10.8
Non-drug-taking students,Post-secondary,2020/21,Internet Habits,Others,0.2
All students,Post-secondary,2023/24,Internet Habits,No,1.7
All students,Post-secondary,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",98.3
All students,Post-secondary,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,84.3
All students,Post-secondary,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),65.1
All students,Post-secondary,2023/24,Internet Habits,Play online games,51.6
All students,Post-secondary,2023/24,Internet Habits,Do homework on the Internet,53.6
All students,Post-secondary,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),55.2
All students,Post-secondary,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),46.3
All students,Post-secondary,2023/24,Internet Habits,"Download photos / songs,etc.",23.6
All students,Post-secondary,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",26.2
All students,Post-secondary,2023/24,Internet Habits,Make friends online,11.7
All students,Post-secondary,2023/24,Internet Habits,Others,0.6
Drug-taking students,Post-secondary,2023/24,Internet Habits,No,0.9
Drug-taking students,Post-secondary,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",99.1
Drug-taking students,Post-secondary,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,79.8
Drug-taking students,Post-secondary,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),71
Drug-taking students,Post-secondary,2023/24,Internet Habits,Play online games,47
Drug-taking students,Post-secondary,2023/24,Internet Habits,Do homework on the Internet,53.9
Drug-taking students,Post-secondary,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),53.4
Drug-taking students,Post-secondary,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),45.5
Drug-taking students,Post-secondary,2023/24,Internet Habits,"Download photos / songs,etc.",25.2
Drug-taking students,Post-secondary,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",34.9
Drug-taking students,Post-secondary,2023/24,Internet Habits,Make friends online,20.1
Drug-taking students,Post-secondary,2023/24,Internet Habits,Others,3.8
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,No,1.7
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,"Yes,things to do when surfing the Internet were…",98.3
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,84.4
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),64.9
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,Play online games,51.8
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,Do homework on the Internet,53.6
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,Find information (e.g. through Wikipedia / map search / route search),55.2
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,Browse websites (e.g. read newspaper articles / comics),46.3
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,"Download photos / songs,etc.",23.5
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,"Go to discussion forums / chat rooms / message boards,etc.",25.9
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,Make friends online,11.4
Non-drug-taking students,Post-secondary,2023/24,Internet Habits,Others,0.5
All students,Overall,2020/21,Social and Peer Statements,“My parents care about my feelings.”,74.6
All students,Overall,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,72.8
All students,Overall,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,70.4
All students,Overall,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,44.8
All students,Overall,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,36.6
All students,Overall,2020/21,Social and Peer Statements,“I often break school rules.”,12.2
Drug-taking students,Overall,2020/21,Social and Peer Statements,“My parents care about my feelings.”,64.2
Drug-taking students,Overall,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,69.8
Drug-taking students,Overall,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,41.5
Drug-taking students,Overall,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,40.5
Drug-taking students,Overall,2020/21,Social and Peer Statements,“I often break school rules.”,32.7
Drug-taking students,Overall,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,46.3
Non-drug-taking students,Overall,2020/21,Social and Peer Statements,“My parents care about my feelings.”,74.8
Non-drug-taking students,Overall,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,73.5
Non-drug-taking students,Overall,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,70.4
