Drug Usage Group, Statements,Education Level,Year,Percentage of people agreeing
All students,"I give up very easily when I am challenged.",Upper Primary,2023/24,26.8
Drug-taking students,"Most of the time, I am satisfied with myself.",Upper Primary,2023/24,57.2
Drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Upper Primary,2023/24,64
Drug-taking students,"Sometimes I think I am no good at all.",Upper Primary,2023/24,40
Drug-taking students,"I handle arguments calmly.",Upper Primary,2023/24,57.1
Drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Upper Primary,2023/24,45.2
Drug-taking students,"I give up very easily when I am challenged.",Upper Primary,2023/24,36.2
Non-drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Upper Primary,2023/24,78.9
Non-drug-taking students,"Most of the time, I am satisfied with myself.",Upper Primary,2023/24,65.8
Non-drug-taking students,"I handle arguments calmly.",Upper Primary,2023/24,62.3
Non-drug-taking students,"Sometimes I think I am no good at all.",Upper Primary,2023/24,45.1
Non-drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Upper Primary,2023/24,57.7
Non-drug-taking students,"I give up very easily when I am challenged.",Upper Primary,2023/24,26.6
All students,"I can always manage to solve difficult problems if I try hard enough.",Secondary,2020/21,79.4
All students,"Most of the time, I am satisfied with myself.",Secondary,2020/21,61.6
All students,"I handle arguments calmly.",Secondary,2020/21,67.4
All students,"Sometimes I think I am no good at all.",Secondary,2020/21,58.3
All students,"I am confident that I can deal efficiently with unexpected events.",Secondary,2020/21,59.1
All students,"I give up very easily when I am challenged.",Secondary,2020/21,36.6
Drug-taking students,"Most of the time, I am satisfied with myself.",Secondary,2020/21,57.4
Drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Secondary,2020/21,73.8
Drug-taking students,"Sometimes I think I am no good at all.",Secondary,2020/21,52.4
Drug-taking students,"I handle arguments calmly.",Secondary,2020/21,59.7
Drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Secondary,2020/21,61.8
Drug-taking students,"I give up very easily when I am challenged.",Secondary,2020/21,35.5
Non-drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Secondary,2020/21,79.6
Non-drug-taking students,"Most of the time, I am satisfied with myself.",Secondary,2020/21,61.7
Non-drug-taking students,"I handle arguments calmly.",Secondary,2020/21,67.6
Non-drug-taking students,"Sometimes I think I am no good at all.",Secondary,2020/21,58.4
Non-drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Secondary,2020/21,59
Non-drug-taking students,"I give up very easily when I am challenged.",Secondary,2020/21,36.6
All students,"I can always manage to solve difficult problems if I try hard enough.",Secondary,2023/24,79.5
All students,"Most of the time, I am satisfied with myself.",Secondary,2023/24,63.1
All students,"I handle arguments calmly.",Secondary,2023/24,65
All students,"Sometimes I think I am no good at all.",Secondary,2023/24,59.2
All students,"I am confident that I can deal efficiently with unexpected events.",Secondary,2023/24,58.2
All students,"I give up very easily when I am challenged.",Secondary,2023/24,40.2
Drug-taking students,"Most of the time, I am satisfied with myself.",Secondary,2023/24,63.6
Drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Secondary,2023/24,71.1
Drug-taking students,"Sometimes I think I am no good at all.",Secondary,2023/24,53.7
Drug-taking students,"I handle arguments calmly.",Secondary,2023/24,53.7
Drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Secondary,2023/24,57.3
Drug-taking students,"I give up very easily when I am challenged.",Secondary,2023/24,40.1
Non-drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Secondary,2023/24,79.8
Non-drug-taking students,"Most of the time, I am satisfied with myself.",Secondary,2023/24,63.1
Non-drug-taking students,"I handle arguments calmly.",Secondary,2023/24,65.4
Non-drug-taking students,"Sometimes I think I am no good at all.",Secondary,2023/24,59.3
Non-drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Secondary,2023/24,58.2
Non-drug-taking students,"I give up very easily when I am challenged.",Secondary,2023/24,40.2
All students,"I can always manage to solve difficult problems if I try hard enough.",Post-secondary,2020/21,81.5
All students,"Most of the time, I am satisfied with myself.",Post-secondary,2020/21,66.4
All students,"I handle arguments calmly.",Post-secondary,2020/21,73
All students,"Sometimes I think I am no good at all.",Post-secondary,2020/21,58.5
All students,"I am confident that I can deal efficiently with unexpected events.",Post-secondary,2020/21,61.8
All students,"I give up very easily when I am challenged.",Post-secondary,2020/21,32.8
Drug-taking students,"Most of the time, I am satisfied with myself.",Post-secondary,2020/21,60.7
Drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Post-secondary,2020/21,80.1
Drug-taking students,"Sometimes I think I am no good at all.",Post-secondary,2020/21,53.2
Drug-taking students,"I handle arguments calmly.",Post-secondary,2020/21,68.6
Drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Post-secondary,2020/21,70
Drug-taking students,"I give up very easily when I am challenged.",Post-secondary,2020/21,31.5
Non-drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Post-secondary,2020/21,81.5
Non-drug-taking students,"Most of the time, I am satisfied with myself.",Post-secondary,2020/21,66.6
Non-drug-taking students,"I handle arguments calmly.",Post-secondary,2020/21,73.1
Non-drug-taking students,"Sometimes I think I am no good at all.",Post-secondary,2020/21,58.6
Non-drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Post-secondary,2020/21,61.6
Non-drug-taking students,"I give up very easily when I am challenged.",Post-secondary,2020/21,32.8
All students,"I can always manage to solve difficult problems if I try hard enough.",Post-secondary,2023/24,25.9
All students,"Most of the time, I am satisfied with myself.",Post-secondary,2023/24,49.2
All students,"I handle arguments calmly.",Post-secondary,2023/24,4.9
All students,"Sometimes I think I am no good at all.",Post-secondary,2023/24,11.1
All students,"I am confident that I can deal efficiently with unexpected events.",Post-secondary,2023/24,2.1
All students,"I give up very easily when I am challenged.",Post-secondary,2023/24,1.9
Drug-taking students,"Most of the time, I am satisfied with myself.",Post-secondary,2023/24,45.2
Drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Post-secondary,2023/24,24.1
Drug-taking students,"Sometimes I think I am no good at all.",Post-secondary,2023/24,41
Drug-taking students,"I handle arguments calmly.",Post-secondary,2023/24,17.8
Drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Post-secondary,2023/24,10.3
Drug-taking students,"I give up very easily when I am challenged.",Post-secondary,2023/24,14.5
Non-drug-taking students,"I can always manage to solve difficult problems if I try hard enough.",Post-secondary,2023/24,25.9
Non-drug-taking students,"Most of the time, I am satisfied with myself.",Post-secondary,2023/24,49.3
Non-drug-taking students,"I handle arguments calmly.",Post-secondary,2023/24,4.5
Non-drug-taking students,"Sometimes I think I am no good at all.",Post-secondary,2023/24,10.1
Non-drug-taking students,"I am confident that I can deal efficiently with unexpected events.",Post-secondary,2023/24,1.8
Non-drug-taking students,"I give up very easily when I am challenged.",Post-secondary,2023/24,1.5
